RESOURCE                                                                                                                 ROLE
//storage.googleapis.com/dataflow-staging-us-central1-288261943767                                                       ['roles/storage.legacyBucketOwner', 'roles/storage.legacyBucketReader']
//bigquery.googleapis.com/projects/simplifymycloud-dev/datasets/iot_analytics                                            ['roles/bigquery.dataEditor', 'roles/bigquery.dataOwner', 'roles/bigquery.dataViewer']
//cloudresourcemanager.googleapis.com/projects/gen-lang-client-0690825234                                                ['roles/cloudsecuritycompliance.serviceAgent', 'roles/owner']
//run.googleapis.com/projects/iq9-gcp-dev-yamato/locations/us-west1/services/iq9-run-dev-yamato-wiki                     ['roles/run.invoker']
//storage.googleapis.com/smc-yamato-security-audit-storage                                                               ['roles/storage.legacyBucketOwner', 'roles/storage.legacyBucketReader', 'roles/storage.legacyObjectOwner', 'roles/storage.legacyObjectReader']
//run.googleapis.com/projects/iq9-gcp-dev-yamato/locations/us-west1/services/iq9-run-dev-yamato                          ['roles/run.invoker']
//storage.googleapis.com/iq9-gcp-dev-yamato_cloudbuild                                                                   ['roles/storage.legacyBucketOwner', 'roles/storage.legacyBucketReader']
//storage.googleapis.com/iq9-ops-iac_cloudbuild                                                                          ['roles/storage.legacyBucketOwner', 'roles/storage.legacyBucketReader']
//secretmanager.googleapis.com/projects/168357744801/secrets/yamato-dev-db-password                                      ['roles/secretmanager.secretAccessor']
//cloudresourcemanager.googleapis.com/projects/iq9-gcp-dev-yamato                                                        ['roles/artifactregistry.serviceAgent', 'roles/cloudbuild.builds.builder', 'roles/cloudbuild.serviceAgent', 'roles/cloudsecuritycompliance.serviceAgent', 'roles/cloudsql.client', 'roles/compute.instanceGroupManagerServiceAgent', 'roles/compute.serviceAgent', 'roles/containeranalysis.ServiceAgent', 'roles/containerregistry.ServiceAgent', 'roles/dataflow.serviceAgent', 'roles/discoveryengine.serviceAgent', 'roles/editor', 'roles/logging.serviceAgent', 'roles/logging.viewer', 'roles/monitoring.viewer', 'roles/owner', 'roles/pubsub.serviceAgent', 'roles/run.serviceAgent', 'roles/servicenetworking.serviceAgent', 'roles/vpcaccess.serviceAgent']
//cloudresourcemanager.googleapis.com/folders/754288056256                                                               ['roles/resourcemanager.folderAdmin', 'roles/resourcemanager.folderEditor']
//cloudresourcemanager.googleapis.com/folders/804834447320                                                               ['roles/resourcemanager.folderAdmin', 'roles/resourcemanager.folderEditor']
//cloudresourcemanager.googleapis.com/folders/696735621171                                                               ['roles/resourcemanager.folderAdmin', 'roles/resourcemanager.folderEditor']
//storage.googleapis.com/iq9-iac-ops-tf-state-bucket                                                                     ['roles/storage.legacyBucketOwner', 'roles/storage.legacyBucketReader', 'roles/storage.legacyObjectOwner', 'roles/storage.legacyObjectReader']
//iam.googleapis.com/projects/iq9-ops-iac/serviceAccounts/iq9-tf-foundation-sa@iq9-ops-iac.iam.gserviceaccount.com       ['roles/iam.serviceAccountUser']
//storage.googleapis.com/iq9-logging-warehouse                                                                           ['roles/storage.legacyBucketOwner', 'roles/storage.legacyBucketReader', 'roles/storage.legacyObjectOwner', 'roles/storage.legacyObjectReader', 'roles/storage.objectCreator']
//cloudresourcemanager.googleapis.com/projects/iq9-logging-warehouse                                                     ['roles/cloudsecuritycompliance.serviceAgent', 'roles/owner']
//cloudresourcemanager.googleapis.com/folders/473370836814                                                               ['roles/resourcemanager.folderAdmin', 'roles/resourcemanager.folderEditor']
//iam.googleapis.com/projects/iq9-bootstrap/serviceAccounts/iq9-bootstrap-sa@iq9-bootstrap.iam.gserviceaccount.com       ['roles/iam.serviceAccountTokenCreator']
//cloudresourcemanager.googleapis.com/projects/iq9-ops-iac                                                               ['roles/cloudbuild.builds.builder', 'roles/cloudbuild.serviceAgent', 'roles/cloudsecuritycompliance.serviceAgent', 'roles/compute.instanceGroupManagerServiceAgent', 'roles/compute.serviceAgent', 'roles/containerregistry.ServiceAgent', 'roles/editor', 'roles/iam.roleAdmin', 'roles/owner', 'roles/pubsub.serviceAgent']
//cloudresourcemanager.googleapis.com/projects/iq9-bootstrap                                                             ['roles/cloudsecuritycompliance.serviceAgent', 'roles/compute.instanceGroupManagerServiceAgent', 'roles/compute.serviceAgent', 'roles/editor', 'roles/owner']
//cloudresourcemanager.googleapis.com/folders/340182878863                                                               ['roles/resourcemanager.folderAdmin', 'roles/resourcemanager.folderEditor']
//cloudresourcemanager.googleapis.com/folders/147640766174                                                               ['roles/compute.networkAdmin', 'roles/compute.securityAdmin', 'roles/iam.serviceAccountAdmin', 'roles/iam.serviceAccountUser', 'roles/logging.admin', 'roles/logging.configWriter', 'roles/resourcemanager.folderAdmin', 'roles/resourcemanager.folderEditor', 'roles/resourcemanager.projectCreator', 'roles/resourcemanager.projectDeleter', 'roles/serviceusage.serviceUsageAdmin', 'roles/storage.admin']
//storage.googleapis.com/smc-under-the-wing-terraform-state                                                              ['roles/storage.legacyBucketOwner', 'roles/storage.legacyBucketReader', 'roles/storage.legacyObjectOwner', 'roles/storage.legacyObjectReader']
//run.googleapis.com/projects/smc-under-the-wing/locations/us-west1/services/under-the-wing                              ['roles/run.invoker']
//secretmanager.googleapis.com/projects/795134219637/secrets/database-url                                                ['roles/secretmanager.secretAccessor']
//storage.googleapis.com/smc-under-the-wing-images                                                                       ['roles/storage.legacyBucketOwner', 'roles/storage.legacyBucketReader', 'roles/storage.legacyObjectOwner', 'roles/storage.legacyObjectReader', 'roles/storage.objectAdmin']
//storage.googleapis.com/smc-under-the-wing-tf-state                                                                     ['roles/storage.legacyBucketOwner', 'roles/storage.legacyBucketReader', 'roles/storage.legacyObjectOwner', 'roles/storage.legacyObjectReader']
//cloudresourcemanager.googleapis.com/projects/smc-under-the-wing                                                        ['roles/artifactregistry.serviceAgent', 'roles/cloudsecuritycompliance.serviceAgent', 'roles/cloudsql.client', 'roles/containerregistry.ServiceAgent', 'roles/editor', 'roles/owner', 'roles/pubsub.serviceAgent', 'roles/run.serviceAgent']
//storage.googleapis.com/288261943767-us-west1-blueprint-config                                                          ['roles/storage.legacyBucketOwner', 'roles/storage.legacyBucketReader', 'roles/storage.objectAdmin']
//storage.googleapis.com/smc-notebook-demo-bucket-temp                                                                   ['roles/storage.legacyBucketOwner', 'roles/storage.legacyBucketReader']
//storage.googleapis.com/simplifymycloud-dev-us-notebooks                                                                ['roles/storage.legacyBucketOwner', 'roles/storage.legacyBucketReader', 'roles/storage.legacyObjectOwner', 'roles/storage.legacyObjectReader']
//storage.googleapis.com/dataproc-temp-us-west1-288261943767-0o3iabjk                                                    ['roles/storage.legacyBucketOwner', 'roles/storage.legacyBucketReader']
//storage.googleapis.com/dataproc-82cf5cf7-dafc-4a9f-8087-19cc93cc1d19-us-west1                                          ['roles/storage.legacyBucketOwner', 'roles/storage.legacyBucketReader']
//cloudresourcemanager.googleapis.com/projects/smc-prod-bbmrc                                                            ['roles/cloudsecuritycompliance.serviceAgent', 'roles/owner']
//storage.googleapis.com/gcf-sources-288261943767-us-central1                                                            ['roles/storage.legacyBucketOwner', 'roles/storage.legacyBucketReader', 'roles/storage.legacyObjectOwner', 'roles/storage.legacyObjectReader']
//storage.googleapis.com/gcf-sources-288261943767-us-west1                                                               ['roles/storage.legacyBucketOwner', 'roles/storage.legacyBucketReader', 'roles/storage.legacyObjectOwner', 'roles/storage.legacyObjectReader']
//storage.googleapis.com/smc-dev-tf-provider-host-bucket                                                                 ['roles/storage.legacyBucketOwner', 'roles/storage.legacyBucketReader', 'roles/storage.legacyObjectOwner', 'roles/storage.legacyObjectReader']
//cloudresourcemanager.googleapis.com/projects/smc-dental-knox-dev                                                       ['roles/cloudsecuritycompliance.serviceAgent', 'roles/owner']
//storage.googleapis.com/staging.simplifymycloud-dev.appspot.com                                                         ['roles/storage.legacyBucketOwner', 'roles/storage.legacyBucketReader']
//iam.googleapis.com/projects/simplifymycloud-dev/serviceAccounts/terraform@simplifymycloud-dev.iam.gserviceaccount.com  ['roles/iam.serviceAccountAdmin', 'roles/owner']
//storage.googleapis.com/smc-logging-example-test                                                                        ['roles/storage.legacyBucketOwner', 'roles/storage.legacyBucketReader', 'roles/storage.legacyObjectOwner', 'roles/storage.legacyObjectReader']
//cloudresourcemanager.googleapis.com/projects/smc-prod-olympic-flying-club                                              ['roles/cloudsecuritycompliance.serviceAgent', 'roles/firebase.managementServiceAgent', 'roles/firebase.sdkAdminServiceAgent', 'roles/firebaserules.system', 'roles/iam.serviceAccountTokenCreator', 'roles/owner', 'roles/pubsub.serviceAgent']
//storage.googleapis.com/staging.smc-prod-caballerosflyingclub.appspot.com                                               ['roles/storage.legacyBucketOwner', 'roles/storage.legacyBucketReader']
//storage.googleapis.com/smc-prod-caballerosflyingclub.appspot.com                                                       ['roles/storage.admin', 'roles/storage.legacyBucketOwner', 'roles/storage.legacyBucketReader']
//storage.googleapis.com/simplifymycloud-dev                                                                             ['roles/storage.legacyBucketOwner', 'roles/storage.legacyBucketReader']
//cloudresourcemanager.googleapis.com/projects/smc-prod-psmtherapy                                                       ['roles/cloudfunctions.serviceAgent', 'roles/cloudsecuritycompliance.serviceAgent', 'roles/editor', 'roles/firebase.managementServiceAgent', 'roles/firebase.sdkAdminServiceAgent', 'roles/firebaserules.system', 'roles/iam.serviceAccountTokenCreator', 'roles/owner']
//iam.googleapis.com/projects/smc-ops/serviceAccounts/smc-ops-tf-org-admin@smc-ops.iam.gserviceaccount.com               ['roles/iam.serviceAccountAdmin', 'roles/iam.serviceAccountUser']
//cloudresourcemanager.googleapis.com/projects/smc-ops                                                                   ['roles/cloudaicompanion.serviceAgent', 'roles/cloudsecuritycompliance.serviceAgent', 'roles/logging.bucketWriter', 'roles/owner', 'roles/resourcemanager.organizationAdmin']
//storage.googleapis.com/smc-dev-stuff                                                                                   ['roles/storage.legacyBucketOwner', 'roles/storage.legacyBucketReader', 'roles/storage.objectCreator']
//storage.googleapis.com/artifacts.smc-prod-madeinwestgermany.appspot.com                                                ['roles/storage.legacyBucketOwner', 'roles/storage.legacyBucketReader']
//storage.googleapis.com/smc-prod-madeinwestgermany_cloudbuild                                                           ['roles/storage.legacyBucketOwner', 'roles/storage.legacyBucketReader']
//storage.googleapis.com/artifacts.smc-prod-bigbarkozspeedshop.appspot.com                                               ['roles/storage.legacyBucketOwner', 'roles/storage.legacyBucketReader']
//storage.googleapis.com/smc-prod-bigbarkozspeedshop_cloudbuild                                                          ['roles/storage.legacyBucketOwner', 'roles/storage.legacyBucketReader']
//storage.googleapis.com/us.artifacts.simplifymycloud-dev.appspot.com                                                    ['roles/storage.legacyBucketOwner', 'roles/storage.legacyBucketReader']
//cloudresourcemanager.googleapis.com/projects/smc-prod-trilliumhiring                                                   ['roles/cloudfunctions.serviceAgent', 'roles/cloudsecuritycompliance.serviceAgent', 'roles/compute.serviceAgent', 'roles/editor', 'roles/firebase.managementServiceAgent', 'roles/firebase.sdkAdminServiceAgent', 'roles/firebaserules.system', 'roles/iam.serviceAccountTokenCreator', 'roles/owner']
//storage.googleapis.com/videos-bbss-chris-craft                                                                         ['roles/storage.legacyBucketOwner', 'roles/storage.legacyBucketReader']
//storage.googleapis.com/staging.smc-prod-simplifymycloud.appspot.com                                                    ['roles/storage.legacyBucketOwner', 'roles/storage.legacyBucketReader']
//storage.googleapis.com/smc-prod-simplifymycloud.appspot.com                                                            ['roles/storage.admin', 'roles/storage.legacyBucketOwner', 'roles/storage.legacyBucketReader']
